locus_tag	ftype	length_bp	gene	EC_number	COG	product
R7A_00054	CDS	1644	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
R7A_00055	CDS	1248				Tn3 family transposase TnXax1
R7A_00056	CDS	606	recR		COG0353	Recombination protein RecR
R7A_00057	CDS	1002				hypothetical protein
R7A_00058	CDS	408				hypothetical protein
R7A_00059	CDS	324			COG0718	Nucleoid-associated protein HI_0442
R7A_00060	CDS	1818				hypothetical protein
R7A_00061	CDS	420				hypothetical protein
R7A_00062	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
R7A_00063	CDS	306				hypothetical protein
R7A_00064	CDS	864	pheA		COG0077	P-protein
R7A_00065	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
R7A_00066	CDS	648				hypothetical protein
R7A_00067	CDS	1878				hypothetical protein
R7A_00068	CDS	1869				hypothetical protein
R7A_00069	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
R7A_00070	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
R7A_00071	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
R7A_00072	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
R7A_00073	CDS	510				hypothetical protein
R7A_00074	CDS	360				hypothetical protein
R7A_00075	CDS	918	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
R7A_00076	CDS	1008				hypothetical protein
R7A_00077	CDS	1602	lig	6.5.1.1		DNA ligase
R7A_00078	CDS	1146				hypothetical protein
R7A_00079	tRNA	76				tRNA-Thr(cgt)
R7A_00080	CDS	189				hypothetical protein
R7A_00081	CDS	438				hypothetical protein
R7A_00082	CDS	537	sigE_1			ECF RNA polymerase sigma factor SigE
R7A_00083	CDS	447				hypothetical protein
R7A_00084	CDS	456				hypothetical protein
R7A_00085	CDS	276				hypothetical protein
R7A_00086	CDS	1497				hypothetical protein
R7A_00087	CDS	1260				hypothetical protein
R7A_00088	CDS	3414	aas_1	6.2.1.20		Bifunctional protein Aas
R7A_00089	CDS	1557				hypothetical protein
R7A_00090	CDS	2154				hypothetical protein
R7A_00091	CDS	483				hypothetical protein
R7A_00092	CDS	1572				hypothetical protein
R7A_00093	CDS	792	kynB	3.5.1.9		Kynurenine formamidase
R7A_00094	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
R7A_00095	CDS	1530	hbpA		COG0747	Heme-binding protein A
R7A_00096	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
R7A_00097	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
R7A_00098	CDS	879	ddpD_1		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
R7A_00099	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
R7A_00100	CDS	600	cetB_1	5.1.3.33		2-epi-5-epi-valiolone epimerase
R7A_00101	CDS	2295	namA_1	1.6.99.1		NADPH dehydrogenase
R7A_00102	CDS	774	actIII_1	1.3.1.-		Putative ketoacyl reductase
R7A_00103	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
R7A_00104	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
R7A_00105	CDS	1149	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
R7A_00106	CDS	414				hypothetical protein
R7A_00107	CDS	1095	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
R7A_00108	CDS	762	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
R7A_00109	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
R7A_00110	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
R7A_00111	CDS	1275	csd_1	2.8.1.7		Probable cysteine desulfurase
R7A_00112	CDS	831	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
R7A_00113	CDS	858	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
R7A_00114	CDS	924	dppC		COG1173	Dipeptide transport system permease protein DppC
R7A_00115	CDS	1008	dppB_3		COG0601	Dipeptide transport system permease protein DppB
R7A_00116	CDS	1593	dppA_1		COG0747	Periplasmic dipeptide transport protein
R7A_00117	CDS	2052	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
R7A_00118	CDS	675	prmA_1	2.1.1.-		Ribosomal protein L11 methyltransferase
R7A_00119	CDS	723	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
R7A_00120	CDS	1644	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
R7A_00121	CDS	1494	tauR		COG1167	HTH-type transcriptional regulator TauR
R7A_00122	CDS	1590	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
R7A_00123	CDS	399				hypothetical protein
R7A_00124	CDS	1392	srpC		COG2059	Probable chromate transport protein
R7A_00125	CDS	819				hypothetical protein
R7A_00126	CDS	1806	araC_1	4.2.1.25		L-arabonate dehydratase
R7A_00127	CDS	450				hypothetical protein
R7A_00128	CDS	1170				Iron-sulfur cluster carrier protein
R7A_00129	CDS	378				hypothetical protein
R7A_00130	CDS	1251				hypothetical protein
R7A_00131	CDS	900	oxyR_1			Hydrogen peroxide-inducible genes activator
R7A_00132	CDS	480	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
R7A_00133	CDS	1557	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
R7A_00134	CDS	2913		1.17.1.9		Putative formate dehydrogenase SA2102
R7A_00135	CDS	831	fdhD		COG1526	Sulfur carrier protein FdhD
R7A_00136	CDS	309				hypothetical protein
R7A_00137	CDS	1554	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
R7A_00138	CDS	480				hypothetical protein
R7A_00139	CDS	363				hypothetical protein
R7A_00140	CDS	315				hypothetical protein
R7A_00141	CDS	1428	prr_1	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
R7A_00142	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
R7A_00143	CDS	969	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
R7A_00144	CDS	999	potA_1	3.6.3.31		Spermidine/putrescine import ATP-binding protein PotA
R7A_00145	CDS	1155				hypothetical protein
R7A_00146	CDS	846	menG			2-phytyl-1,4-naphtoquinone methyltransferase
R7A_00147	CDS	483				hypothetical protein
R7A_00148	CDS	906	oxyR_2			Hydrogen peroxide-inducible genes activator
R7A_00149	CDS	618				hypothetical protein
R7A_00150	CDS	600				hypothetical protein
R7A_00151	CDS	675	basR_1			Transcriptional regulatory protein BasR
R7A_00152	CDS	1362	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
R7A_00153	CDS	777	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
R7A_00154	CDS	888				hypothetical protein
R7A_00155	CDS	2454	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
R7A_00156	CDS	633				hypothetical protein
R7A_00157	CDS	903				hypothetical protein
R7A_00158	CDS	474				hypothetical protein
R7A_00159	CDS	924	ribN_1			Riboflavin transporter
R7A_00160	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
R7A_00161	CDS	1755		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
R7A_00162	CDS	1845	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
R7A_00163	CDS	345				hypothetical protein
R7A_00164	CDS	528				hypothetical protein
R7A_00165	CDS	471				hypothetical protein
R7A_00166	CDS	1683	prfC		COG4108	Peptide chain release factor 3
R7A_00167	CDS	930	dhaA_1	3.8.1.5		Haloalkane dehalogenase
R7A_00168	CDS	594	acuR			Transcriptional regulator AcuR
R7A_00169	CDS	1068	dadA_1	1.4.99.-		D-amino acid dehydrogenase
R7A_00170	CDS	1374	aam_1	3.5.1.13	COG0154	Acylamidase
R7A_00171	CDS	801	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
R7A_00172	CDS	249				hypothetical protein
R7A_00173	CDS	513	decR_1		COG1522	DNA-binding transcriptional activator DecR
R7A_00174	CDS	486	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
R7A_00175	CDS	660	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
R7A_00176	CDS	855				hypothetical protein
R7A_00177	CDS	804				Uncharacterized protein MT2054
R7A_00178	CDS	699				hypothetical protein
R7A_00179	CDS	903	yedA			Uncharacterized inner membrane transporter YedA
R7A_00180	CDS	993	ydjH_1	2.7.1.-	COG0524	Uncharacterized sugar kinase YdjH
R7A_00181	CDS	693				hypothetical protein
R7A_00182	CDS	1086				hypothetical protein
R7A_00183	CDS	2280	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
R7A_00184	CDS	2730	mutS		COG0249	DNA mismatch repair protein MutS
R7A_00185	CDS	846		1.-.-.-	COG0667	Uncharacterized oxidoreductase Rv2298
R7A_00186	CDS	393				hypothetical protein
R7A_00187	CDS	2520	actP	3.6.3.4		Copper-transporting P-type ATPase
R7A_00188	CDS	798	lex1	2.-.-.-	COG3306	Lipooligosaccharide biosynthesis protein lex-1
R7A_00189	CDS	2802	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
R7A_00190	CDS	1581	murJ		COG0728	Probable lipid II flippase MurJ
R7A_00191	CDS	531				hypothetical protein
R7A_00192	CDS	1302				hypothetical protein
R7A_00193	CDS	1068	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
R7A_00194	CDS	492				hypothetical protein
R7A_00195	CDS	570	nfuA			Fe/S biogenesis protein NfuA
R7A_00196	CDS	618				hypothetical protein
R7A_00197	CDS	423	hmrR			HTH-type transcriptional regulator HmrR
R7A_00198	CDS	282				hypothetical protein
R7A_00199	CDS	174				hypothetical protein
R7A_00200	CDS	501				hypothetical protein
R7A_00201	CDS	1197	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
R7A_00202	CDS	564	regA_1		COG4567	Photosynthetic apparatus regulatory protein RegA
R7A_00203	CDS	1332	regB_1	2.7.13.3		Sensor histidine kinase RegB
R7A_00204	CDS	2463				hypothetical protein
R7A_00205	CDS	888				hypothetical protein
R7A_00206	CDS	690				hypothetical protein
R7A_00207	CDS	1332				hypothetical protein
R7A_00208	CDS	948	sugA_1		COG1175	Trehalose transport system permease protein SugA
R7A_00209	CDS	951	sugB_1		COG0395	Trehalose transport system permease protein SugB
R7A_00210	CDS	207				hypothetical protein
R7A_00211	CDS	1113	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
R7A_00212	CDS	1014	ugpC_1	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
R7A_00213	CDS	1644	dhaK_1	2.7.1.29		Dihydroxyacetone kinase
R7A_00214	CDS	603	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
R7A_00215	CDS	390	dhaM-2	2.7.1.121	COG3412	PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM
R7A_00216	CDS	303	ptsH_1		COG1925	Phosphocarrier protein HPr
R7A_00217	CDS	1575	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
R7A_00218	CDS	426				hypothetical protein
R7A_00219	CDS	987	dhaK_2	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
R7A_00220	CDS	117				hypothetical protein
R7A_00221	CDS	1908	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
R7A_00222	CDS	1083				hypothetical protein
R7A_00223	CDS	633				hypothetical protein
R7A_00224	CDS	447				hypothetical protein
R7A_00225	CDS	675				hypothetical protein
R7A_00226	CDS	654		1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
R7A_00227	CDS	735	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
R7A_00228	CDS	891				hypothetical protein
R7A_00229	CDS	2427				hypothetical protein
R7A_00230	CDS	897	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
R7A_00231	CDS	969				hypothetical protein
R7A_00232	CDS	951				hypothetical protein
R7A_00233	CDS	990				hypothetical protein
R7A_00234	CDS	1173				hypothetical protein
R7A_00235	CDS	1497	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
R7A_00236	CDS	1023				hypothetical protein
R7A_00237	CDS	1080				hypothetical protein
R7A_00238	CDS	450				hypothetical protein
R7A_00239	CDS	1443	fdhL	1.1.99.11		Fructose dehydrogenase large subunit
R7A_00240	CDS	1332	ywqF	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase YwqF
R7A_00241	CDS	882	exoK	3.2.1.-		Endo-1,3-1,4-beta-glycanase ExoK
R7A_00242	CDS	402				hypothetical protein
R7A_00243	CDS	1023				hypothetical protein
R7A_00244	CDS	1125				hypothetical protein
R7A_00245	CDS	153				hypothetical protein
R7A_00246	CDS	300				hypothetical protein
R7A_00247	CDS	516				hypothetical protein
R7A_00248	CDS	1920				hypothetical protein
R7A_00249	CDS	1002				hypothetical protein
R7A_00250	CDS	1842	hepA_1		COG1132	Heterocyst differentiation ATP-binding protein HepA
R7A_00251	CDS	249				hypothetical protein
R7A_00252	CDS	678	epsL	2.-.-.-	COG2148	Uncharacterized sugar transferase EpsL
R7A_00253	CDS	1260				hypothetical protein
R7A_00254	CDS	1314				hypothetical protein
R7A_00255	CDS	828	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
R7A_00256	CDS	486	acxC	6.4.1.6	COG4647	Acetone carboxylase gamma subunit
R7A_00257	CDS	2205	acxB	6.4.1.6	COG0146	Acetone carboxylase alpha subunit
R7A_00258	CDS	2142	acxA	6.4.1.6	COG0145	Acetone carboxylase beta subunit
R7A_00259	CDS	771				hypothetical protein
R7A_00260	CDS	750	LRA5_1	1.1.1.401		2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))
R7A_00261	CDS	1350				hypothetical protein
R7A_00262	CDS	1530	merA	1.16.1.1		Mercuric reductase
R7A_00263	CDS	1224				hypothetical protein
R7A_00264	CDS	570				hypothetical protein
R7A_00265	CDS	1440	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
R7A_00266	CDS	660				hypothetical protein
R7A_00267	CDS	1254	soxB_1	1.5.3.1		Sarcosine oxidase subunit beta
R7A_00268	CDS	267	soxD_1	1.5.3.1		Sarcosine oxidase subunit delta
R7A_00269	CDS	2886	soxA_1	1.5.3.1		Sarcosine oxidase subunit alpha
R7A_00270	CDS	543				hypothetical protein
R7A_00271	CDS	486				hypothetical protein
R7A_00272	CDS	561	msuE	1.5.1.38	COG0431	FMN reductase (NADPH)
R7A_00273	CDS	1248	soxC			Dibenzothiophene desulfurization enzyme C
R7A_00274	CDS	807	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
R7A_00275	CDS	1338				hypothetical protein
R7A_00276	CDS	1041				hypothetical protein
R7A_00277	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
R7A_00278	CDS	927	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
R7A_00279	CDS	1104	rutA_2	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
R7A_00280	CDS	1461				hypothetical protein
R7A_00281	CDS	1173	msuD	1.14.14.5	COG2141	Methanesulfonate monooxygenase
R7A_00282	tRNA	76				tRNA-Ala(ggc)
R7A_00283	CDS	387				hypothetical protein
R7A_00284	CDS	1359	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
R7A_00285	CDS	651	cmk	2.7.4.25		Cytidylate kinase
R7A_00286	CDS	1698	rpsA		COG0539	30S ribosomal protein S1
R7A_00287	CDS	1866				hypothetical protein
R7A_00288	CDS	708	polS_1	1.1.1.14		Sorbitol dehydrogenase
R7A_00289	CDS	1581	aruI	4.1.1.75	COG0028	Probable 2-ketoarginine decarboxylase AruI
R7A_00290	CDS	675	betI_1			HTH-type transcriptional regulator BetI
R7A_00291	CDS	849		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
R7A_00292	CDS	816	occP			Octopine permease ATP-binding protein P
R7A_00293	CDS	798	hisJ		COG0834	Histidine-binding periplasmic protein
R7A_00294	CDS	666	hisQ		COG4215	Histidine transport system permease protein HisQ
R7A_00295	CDS	810				hypothetical protein
R7A_00296	CDS	1002	comC	1.1.1.338	COG2055	(2R)-3-sulfolactate dehydrogenase (NADP(+))
R7A_00297	CDS	1137				hypothetical protein
R7A_00298	CDS	957	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
R7A_00299	CDS	978				hypothetical protein
R7A_00300	CDS	1368	ptlI	1.14.13.133	COG2124	Pentalenene oxygenase
R7A_00301	CDS	570				hypothetical protein
R7A_00302	CDS	2628				hypothetical protein
R7A_00303	CDS	2472	gyrB	5.99.1.3		DNA gyrase subunit B
R7A_00304	CDS	918				hypothetical protein
R7A_00305	CDS	1398	pntB	1.6.1.2	COG1282	NAD(P) transhydrogenase subunit beta
R7A_00306	CDS	426				hypothetical protein
R7A_00307	CDS	1290	pntAA	1.6.1.2	COG3288	NAD(P) transhydrogenase subunit alpha part 1
R7A_00308	CDS	225				hypothetical protein
R7A_00309	CDS	816			COG0596	Uncharacterized protein Rv2715
R7A_00310	CDS	150				hypothetical protein
R7A_00311	CDS	768				hypothetical protein
R7A_00312	CDS	2340				hypothetical protein
R7A_00313	CDS	3480				hypothetical protein
R7A_00314	CDS	534				hypothetical protein
R7A_00315	CDS	612				hypothetical protein
R7A_00316	CDS	906	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
R7A_00317	CDS	585				hypothetical protein
R7A_00318	CDS	1794				hypothetical protein
R7A_00319	CDS	1029		1.1.1.301		D-arabitol-phosphate dehydrogenase
R7A_00320	CDS	375				hypothetical protein
R7A_00321	CDS	1110	takP		COG4663	Alpha-keto acid-binding periplasmic protein TakP
R7A_00322	CDS	792	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
R7A_00323	CDS	402				hypothetical protein
R7A_00324	CDS	585				hypothetical protein
R7A_00325	CDS	984		1.1.1.215	COG1052	2-ketogluconate reductase
R7A_00326	CDS	978	cytR_1		COG1609	HTH-type transcriptional repressor CytR
R7A_00327	CDS	1032	ribN_2			Riboflavin transporter
R7A_00328	CDS	408				hypothetical protein
R7A_00329	CDS	873	rhaS_1			HTH-type transcriptional activator RhaS
R7A_00330	CDS	471	slyA_1			Transcriptional regulator SlyA
R7A_00331	CDS	1056	yciC		COG0523	Putative metal chaperone YciC
R7A_00332	CDS	753	cdh	3.6.1.26	COG2134	Probable CDP-diacylglycerol pyrophosphatase
R7A_00333	CDS	234				hypothetical protein
R7A_00334	CDS	975				hypothetical protein
R7A_00335	CDS	456				hypothetical protein
R7A_00336	CDS	459	slyA_2			Transcriptional regulator SlyA
R7A_00337	CDS	471				hypothetical protein
R7A_00338	CDS	1383	hemL2	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 2
R7A_00339	CDS	1401	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
R7A_00340	CDS	672	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
R7A_00341	CDS	1266	ttuD	1.1.1.81		Putative hydroxypyruvate reductase
R7A_00342	CDS	504				hypothetical protein
R7A_00343	CDS	1314	guaD	3.5.4.3	COG0402	Guanine deaminase
R7A_00344	CDS	1218				hypothetical protein
R7A_00345	CDS	921	dmlR_2			HTH-type transcriptional regulator DmlR
R7A_00346	CDS	1020	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
R7A_00347	CDS	1248	ntaA_2	1.14.14.10		Nitrilotriacetate monooxygenase component A
R7A_00348	CDS	906				hypothetical protein
R7A_00349	CDS	2346	pucD	1.17.1.4	COG1529	Probable xanthine dehydrogenase subunit D
R7A_00350	CDS	1482				hypothetical protein
R7A_00351	CDS	375	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
R7A_00352	CDS	1419				hypothetical protein
R7A_00353	CDS	864	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
R7A_00354	CDS	492	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
R7A_00355	CDS	594				hypothetical protein
R7A_00356	CDS	1986				hypothetical protein
R7A_00357	CDS	1587				hypothetical protein
R7A_00358	CDS	960	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
R7A_00359	CDS	825	ddpC_2		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
R7A_00360	CDS	1656	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
R7A_00361	CDS	1590	oppA_1		COG4166	Oligopeptide-binding protein OppA
R7A_00362	CDS	840				hypothetical protein
R7A_00363	CDS	462				IS110 family transposase ISCc2
R7A_00364	CDS	474				hypothetical protein
R7A_00365	CDS	567	sigW		COG1595	ECF RNA polymerase sigma factor SigW
R7A_00366	CDS	669				hypothetical protein
R7A_00367	CDS	1449				hypothetical protein
R7A_00368	CDS	1023	ccpA_1		COG1609	Catabolite control protein A
R7A_00369	CDS	1356				hypothetical protein
R7A_00370	CDS	1014	lacF_1			Lactose transport system permease protein LacF
R7A_00371	CDS	1155				hypothetical protein
R7A_00372	CDS	1665	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase 1
R7A_00373	CDS	1113	malK_1	3.6.3.19	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
R7A_00374	CDS	252				hypothetical protein
R7A_00375	CDS	204				hypothetical protein
R7A_00376	CDS	204				hypothetical protein
R7A_00377	CDS	1248	hcaE_1	1.14.12.19		3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
R7A_00378	CDS	1107	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
R7A_00379	CDS	612	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
R7A_00380	CDS	438	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
R7A_00381	CDS	1611	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
R7A_00382	CDS	702	baeR		COG0745	Transcriptional regulatory protein BaeR
R7A_00383	CDS	1785	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
R7A_00384	CDS	462				hypothetical protein
R7A_00385	CDS	402				hypothetical protein
R7A_00386	CDS	297	ptsH_2		COG1925	Phosphocarrier protein HPr
R7A_00387	CDS	1401	ahcY	3.3.1.1		Adenosylhomocysteinase
R7A_00388	CDS	2556	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
R7A_00389	CDS	1512				hypothetical protein
R7A_00390	CDS	729	murU	2.7.7.-	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
R7A_00391	CDS	3135				hypothetical protein
R7A_00392	CDS	3513	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
R7A_00393	CDS	324				Thioredoxin C-1
R7A_00394	CDS	282	bauB			Beta-alanine degradation protein BauB
R7A_00395	CDS	414	fitB	3.1.-.-		Toxin FitB
R7A_00396	CDS	420				hypothetical protein
R7A_00397	CDS	1326	fpgS	6.3.2.17		Folylpolyglutamate synthase
R7A_00398	CDS	927	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
R7A_00399	CDS	840	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
